track_id,track_name,plays,artist_id
1Q9AA6bYXxJBXPxBeQsLf5,Freed From Desire,2464514,5v8NhwxY9vLSXmoLLBIobl
1QFFPCedVa5jCyE35tkWwQ,Cantada - Ao Vivo,6432194,3qvcCP2J0fWi0m0uQDUf6r
1QUE9sIUcCA2uvcieOQ2uJ,Dive Into The Ocean (Prod. By Alok),1340363,0NGAZxHanS9e0iNHpR8f2W
1QxWsh6YFrAhxno50IwtUe,viejo lobo,10993277,12GqGscKJx3aE4t07u7eVZ
1ScE2netU9CU0VXdOh7EJo,Unfollow Me Slowly,1874034,6D1hKCdOPTrPRBowFYJbhk
1TMvBhqekWmWJSxpmUMgFz,Tenang,6447602,5fS7aONqrIhiw6YzgKVOsd
1TV9RsyUZ6Ikjx0rSB7Cv7,+971,8054452,6Te49r3A6f5BiIgBRxH7FH
1TVzjh4iZFe6n2KkHgrdcd,MONTAGEM DIREÇÃO SIMÉTRICA MEOWSYNTH - Super Slowed,561215,4HxczqyNsvrJs6TnAQe7yX
1UWDkzoTCX0prwWRuSOgAw,O Vovô Não Ta Casado,1377116,6kHgGRuWCJ5FpbieBncl9X
1V6IHDltaFVT7PmROGCmMX,Glass Moon,1564620,0zt6SqlvpnZ7LNMWj8ee4e
1VAtSBqecE1fIfxYikIHUG,diamonds are forever,2443250,41X1TR6hrK8Q2ZCpp2EqCz
1VBKQJ5AVNKROv0WJ2h4ZK,LES DIAMANTS DE BOKASSA,4708575,6Te49r3A6f5BiIgBRxH7FH
1VQAlyLNej46KgqADgNTmo,NOS BAILÃO,872432,3la3vRfIuDMsydpPfUBryR
1WhOLRC0lbhXdoJKQmBR0Q,Slide,1153028,5zixe6AbgXPqt4c1uSl94L
1X3saW7eGrSLRVbEIWwFsh,Obejmuję noce,4436220,2dLhpezBEgAELn73fiMEak
1Z9m35e1blfGEKMqbj4ltg,"Pull Me In, Pull Me In, Can't Escape",754398,4nC9NdTdz3haKyiZfUMxql
1ZgCkVv20ONBZ1B6D0jDqg,Morals,802953,4h8IEOdrg60WM5XGyNOCVU
1aNVW0fujBVx7JTorTO1jn,你沒等我去的舊金山,1422147,1xCrrnnj9xif5G0y3ie5dM
1au4tfpUfLUaCMTPxizUCv,Saudade de Tu,681922,2rsn8MkxTWrYUgLYmhIh4w
1auakYcEuMlBjzGlYkpTxk,Tina,937855,4LdArZAC1QPQdyz8JNOYVW
1b2yH956qyjPXW9DY7j2FQ,Beija Eu - Ao Vivo,1889476,6vTqEFbTtTRJsuIpzZgjxi
1bNXum5zsplM6hadwAKYhQ,FERRARI,1364785,6Kz7MXIUFMtp5Ts91lagtR
1bodUMIXopzGnytdMAyUhu,Baby Mama,1767972,1aS5tqEs9ci5P9KD9tZWa6
1bx6QL4eUThXV2jS3B9atn,SWEET LOVE,1691517,5XKFrudbV4IiuE5WuTPRmT
1c8m9hG6ByBRhGgK1DtjRO,Poison,1745016,2XsKhGOiMsoOmHgckUMpZa
1cKgF7iizS6K7hgx1s9fAo,sip of your name,1236349,1IbdIX1U1e04JRrrh9HQSc
1d1B0o6MT7cMUu5Xd8zTiK,Ode To The Bouncer,781220,2ZdXzNlryuJP0pnFn8CMAr
1d4IKtQRR2OgcuTSyeb3qt,Miraloma,798087,1XpGHmy23Oo4THEMSngF7v
